@relation Iris-weka.filters.unsupervised.instance.Resample-S1-Z85.0-weka.filters.unsupervised.instance.Resample-S1-Z85.0-no-replacement-V

@attribute Id numeric
@attribute SepalLengthCm numeric
@attribute SepalWidthCm numeric
@attribute PetalLengthCm numeric
@attribute PetalWidthCm numeric
@attribute Species {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
40,5.1,3.4,1.5,0.2,Iris-setosa
3,4.7,3.2,1.3,0.2,Iris-virginica
145,6.7,3.3,5.7,2.5,Iris-versicolor
80,5.7,2.6,3.5,1,Iris-virginica
109,6.7,2.5,5.8,1.8,Iris-virginica
98,6.2,2.9,4.3,1.3,Iris-virginica
1,5.1,3.5,1.4,0.2,Iris-setosa
54,5.5,2.3,4,1.3,Iris-versicolor
29,5.2,3.4,1.4,0.2,Iris-setosa
149,6.2,3.4,5.4,2.3,Iris-virginica
116,6.4,3.2,5.3,2.3,Iris-virginica
74,6.1,2.8,4.7,1.2,Iris-versicolor
68,5.8,2.7,4.1,1,Iris-versicolor
97,5.7,2.9,4.2,1.3,Iris-virginica
13,4.8,3,1.4,0.1,Iris-setosa
127,6.2,2.8,4.8,1.8,Iris-setosa
93,5.8,2.6,4,1.2,Iris-versicolor
78,6.7,3,5,1.7,Iris-versicolor
71,5.9,3.2,4.8,1.8,Iris-versicolor
26,5,3,1.6,0.2,Iris-setosa
58,4.9,2.4,3.3,1,Iris-versicolor
17,5.4,3.9,1.3,0.4,Iris-setosa
78,6.7,3,5,1.7,Iris-versicolor
96,5.7,3,4.2,1.2,Iris-setosa
101,6.3,3.3,6,2.5,Iris-virginica
20,5.1,3.8,1.5,0.3,Iris-setosa
59,6.6,2.9,4.6,1.3,Iris-versicolor
54,5.5,2.3,4,1.3,Iris-versicolor
141,6.7,3.1,5.6,2.4,Iris-virginica
77,6.8,2.8,4.8,1.4,Iris-setosa
67,5.6,3,4.5,1.5,Iris-virginica
47,5.1,3.8,1.6,0.2,Iris-setosa
22,5.1,3.7,1.5,0.4,Iris-setosa

